complaint_id,category,priority,reason,flag
KM-202401,Other,Standard,No category keywords matched clearly → category Other; priority Standard.,NEEDS_REVIEW
KM-202402,Road Damage,Standard,"Description cited 'road', 'broken', 'cobble', 'cobblestone' → category Road Damage; priority Standard.",
KM-202405,Other,Standard,No category keywords matched clearly → category Other; priority Standard.,NEEDS_REVIEW
KM-202409,Other,Standard,No category keywords matched clearly → category Other; priority Standard.,NEEDS_REVIEW
KM-202410,Pothole,Standard,Description cited 'pothole' → category Pothole; priority Standard.,
KM-202411,Pothole,Standard,Description cited 'pothole' → category Pothole; priority Standard.,
KM-202415,Other,Standard,No category keywords matched clearly → category Other; priority Standard.,NEEDS_REVIEW
KM-202418,Waste,Standard,"Description cited 'waste', 'overflow' → category Waste; priority Standard.",
KM-202421,Road Damage,Urgent,"Description cited 'sinking', 'broken', 'footpath' → category Road Damage; priority Urgent.",
KM-202422,Road Damage,Standard,"Description cited 'road', 'buckled', 'surface', 'bridge' → category Road Damage; priority Standard.",
KM-202426,Heritage Damage,Standard,Description cited 'heritage' → category Heritage Damage; priority Standard.,
KM-202430,Road Damage,Standard,Description cited 'road' → category Road Damage; priority Standard.,
KM-202434,Other,Standard,No category keywords matched clearly → category Other; priority Standard.,NEEDS_REVIEW
KM-202436,Streetlight,Standard,"Description cited 'substation', 'darkness' → category Streetlight; priority Standard.",
KM-202438,Other,Standard,No category keywords matched clearly → category Other; priority Standard.,NEEDS_REVIEW
