complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Cited 'pothole' in description so category Pothole with priority Standard.,
PM-202402,Pothole,Urgent,Cited 'pothole' in description so category Pothole with priority Urgent.,
PM-202406,Flooding,Standard,"Cited 'flood', 'knee-deep', 'stranded' in description so category Flooding with priority Standard.",
PM-202408,Drain Blockage,Standard,"Cited 'Drain', 'blocked' in description so category Drain Blockage with priority Standard.",
PM-202410,Streetlight,Standard,"Cited 'streetlight', 'lights out' in description so category Streetlight with priority Standard.",
PM-202411,Streetlight,Urgent,"Cited 'Streetlight', 'sparking', 'flickering' in description so category Streetlight with priority Urgent.",
PM-202413,Waste,Standard,"Cited 'garbage', 'Overflow' in description so category Waste with priority Standard.",
PM-202418,Noise,Standard,Cited 'music' in description so category Noise with priority Standard.,
PM-202419,Road Damage,Standard,"Cited 'cracked', 'sinking' in description so category Road Damage with priority Standard.",
PM-202420,Road Damage,Urgent,Cited 'Manhole' in description so category Road Damage with priority Urgent.,
PM-202427,Flooding,Standard,Cited 'flood' in description so category Flooding with priority Standard.,
PM-202428,Waste,Standard,"Cited 'not removed', 'Dead animal' in description so category Waste with priority Standard.",
PM-202430,Heritage Damage,Standard,"Cited 'Heritage', 'Heritage street', 'concern' in description so category Heritage Damage with priority Standard.",
PM-202433,Waste,Standard,"Cited 'waste', 'dumped' in description so category Waste with priority Standard.",
PM-202446,Road Damage,Urgent,"Cited 'broken', 'upturned', 'Footpath', 'tiles' in description so category Road Damage with priority Urgent.",
